STT,GIÁ - TRIỆU ĐỒNG,HÃNG,DÒNG,NĂM_SX,DUNG TÍCH - CC,KIỂU XE,TÌNH TRẠNG
6063,17,Piaggio,Vespa,2011,125,Tay ga,Cũ
6064,23.5,Honda,Winner,2018,150,Tay côn/Moto,Cũ
6065,30.5,Honda,Future,2008,125,Xe số,Cũ
6066,30,Suzuki,EN,2015,125,Tay côn/Moto,Cũ
6067,91.5,Honda,SH,2019,150,Tay ga,Cũ
6068,19,Honda,Future,2007,125,Xe số,Cũ
6069,16.8,Yamaha,Acruzo,2016,125,Tay ga,Cũ
6070,29.8,Honda,Air Blade,2017,125,Tay ga,Cũ
6071,28,Suzuki,Sport / Xipo,2000,120,Tay côn/Moto,Mới
6072,25,Honda,Air Blade,2016,125,Tay ga,Cũ
6073,4.2,Honda,Wave,2000,100,Xe số,Cũ
6074,26.2,Honda,Vision,2019,110,Tay ga,Cũ
6075,12,Piaggio,Liberty,2013,125,Tay ga,Cũ
6076,25,SYM,Shark,2019,125,Tay ga,Cũ
6077,17,Honda,Future,2001,125,Xe số,Cũ
6078,20.5,Yamaha,Exciter,2012,125,Tay côn/Moto,Cũ
