STT,GIÁ - TRIỆU ĐỒNG,HÃNG,DÒNG,NĂM_SX,DUNG TÍCH - CC,KIỂU XE,TÌNH TRẠNG
5735,15.9,Yamaha,Sirius,2018,110,Xe số,Cũ
5736,46.9,Suzuki,Satria,2020,120,Tay côn/Moto,Cũ
5737,49.9,Honda,Sonic,2019,150,Tay côn/Moto,Cũ
5738,29.9,Honda,Winner,2019,150,Tay côn/Moto,Cũ
5739,41.9,Honda,Vario,2018,125,Tay ga,Cũ
5740,40.9,Suzuki,Satria,2020,120,Tay côn/Moto,Cũ
5741,34.8,Suzuki,Satria,2017,120,Tay côn/Moto,Cũ
5742,33.8,Yamaha,Exciter,2010,125,Tay côn/Moto,Cũ
5743,48.9,Honda,Vario,2020,125,Tay ga,Cũ
5744,39.8,Honda,Vario,2018,125,Tay ga,Cũ
5745,37.9,Suzuki,Raider,2019,125,Tay côn/Moto,Cũ
5746,5.5,Piaggio,Liberty,2008,125,Tay ga,Cũ
5747,48.9,Honda,Vario,2020,125,Tay ga,Cũ
5748,34.9,Suzuki,Satria,2017,120,Tay côn/Moto,Cũ
5749,4.5,Yamaha,Mio,2007,110,Tay ga,Cũ
5750,8,Suzuki,Epicuro,2001,110,Tay ga,Cũ
5751,27.9,Honda,Winner,2018,150,Tay côn/Moto,Cũ
5752,18,Honda,Vision,2017,110,Tay ga,Cũ
5753,15,Honda,Air Blade,2010,110,Tay ga,Cũ
5754,144,Ngoại,SH ý,2010,150,Tay ga,Cũ
5755,25.5,Honda,Lead,2017,110,Tay ga,Cũ
5756,34.9,Suzuki,Satria,2017,120,Tay côn/Moto,Cũ
5757,47,Suzuki,Raider,2019,125,Tay côn/Moto,Cũ
5758,14.3,Piaggio,Vespa,2010,125,Tay ga,Cũ
5759,35,Honda,Winner,2017,150,Tay côn/Moto,Mới
5760,15.7,Honda,Lead,2011,110,Tay ga,Cũ
5761,29.8,Honda,Winner,2019,150,Tay côn/Moto,Cũ
5762,21,SYM,Wolf,2011,125,Tay côn/Moto,Mới
5763,47.9,Honda,Sonic,2020,150,Tay côn/Moto,Cũ
5764,38,Honda,SH,2008,125,Tay ga,Cũ
5765,37.9,Suzuki,Satria,2019,120,Tay côn/Moto,Cũ
5766,48.8,Suzuki,GSX,2019,150,Tay côn/Moto,Cũ
5767,21,Honda,Lead,2014,110,Tay ga,Cũ
5768,4,Yamaha,Nouvo,2011,110,Tay ga,Cũ
5769,27.9,Honda,Winner,2017,150,Tay côn/Moto,Cũ
5770,9.8,Honda,Wave,2011,110,Xe số,Cũ
5771,28,Suzuki,Sport / Xipo,2000,120,Tay côn/Moto,Mới
5772,28.9,Yamaha,Exciter,2008,125,Tay côn/Moto,Cũ
5773,8.5,Yamaha,Nouvo,2010,110,Tay ga,Cũ
5774,36,Yamaha,YBR125,2016,125,Tay côn/Moto,Cũ
5775,21.999,Honda,Future,2018,125,Xe số,Cũ
5776,38,Honda,Air Blade,2015,125,Tay ga,Mới
5777,7.5,Honda,Wave,2008,110,Xe số,Cũ
5778,23.6,Honda,Vision,2017,110,Tay ga,Cũ
5779,29.6,Suzuki,Sport / Xipo,1999,120,Tay côn/Moto,Mới
5780,41.8,Honda,Sonic,2018,150,Tay côn/Moto,Cũ
5781,528,BMW,S1000RR,2016,1000,Tay côn/Moto,Cũ
5782,68,Honda,SH,2014,150,Tay ga,Cũ
5783,21,Honda,Lead,2014,110,Tay ga,Cũ
5784,8,Yamaha,Sirius,2013,110,Tay ga,Cũ
5785,9,Suzuki,Epicuro,2001,110,Tay ga,Cũ
5786,70,Piaggio,Sprint,2019,125,Tay ga,Cũ
5787,43.9,Honda,Vario,2019,125,Tay ga,Cũ
5788,58,Yamaha,R,2019,175,Tay côn/Moto,Cũ
5789,10.8,Honda,Dream,1994,100,Xe số,Cũ
5790,35.5,Honda,SH,2012,125,Tay ga,Cũ
5791,21,Honda,Lead,2014,110,Tay ga,Cũ
5792,23.9,Honda,Air Blade,2013,125,Tay ga,Cũ
5793,87,Honda,SH,2017,150,Tay ga,Mới
5794,8.5,Honda,67,2002,50,Classic,Cũ
5795,35.5,Honda,SH,2012,125,Tay ga,Cũ
5796,555,BMW,S1000RR,2017,1000,Tay côn/Moto,Cũ
5797,37.9,Honda,Vario,2019,125,Tay ga,Cũ
5798,4.7,Honda,Dream,2002,100,Xe số,Cũ
5799,48,Honda,SH Mode,2019,125,Tay ga,Cũ
5800,2.9,Honda,Dream,2015,110,Xe số,Cũ
5801,12,Yamaha,Sirius,2014,110,Xe số,Cũ
5802,15.8,Honda,Future,2015,110,Xe số,Cũ
5803,4.8,Honda,Wave,2012,100,Xe số,Cũ
5804,36,Yamaha,FZ,2016,125,Tay côn/Moto,Cũ
5805,33.9,Honda,Winner,2019,150,Tay côn/Moto,Cũ
5806,14.8,Piaggio,Vespa,2009,125,Tay ga,Cũ
5807,16.8,Honda,Vision,2012,110,Tay ga,Mới
5808,95,Honda,Rebel,1997,250,Tay côn/Moto,Cũ
5809,375,Yamaha,YAZ,2017,125,Tay côn/Moto,Mới
5810,15,Honda,Air Blade,2009,110,Tay ga,Cũ
5811,32,Honda,SH,2011,125,Tay ga,Cũ
5812,11.5,Honda,Wave,2017,110,Xe số,Cũ
5813,17.5,Yamaha,Acruzo,2016,125,Tay ga,Cũ
5814,42,Honda,SH Mode,2015,125,Tay ga,Cũ
5815,61,GPX,Demon 150GR,2020,150,Tay côn/Moto,Cũ
5816,29,Yamaha,Nvx,2017,125,Tay ga,Mới
5817,35.5,Honda,Vario,2019,125,Tay ga,Cũ
5818,35.5,Honda,SH,2012,125,Tay ga,Cũ
5819,7.9,Honda,Lead,2008,110,Tay ga,Cũ
